Index,t,Heatflow,Tr
0,0.0,-0.0842906,25.0
1,1.0,-0.10248,25.1667
2,2.0,-0.193842,25.3333
3,3.0,-0.365677,25.5
4,4.0,-0.697696,25.6667
5,5.0,-1.02059,25.8333
6,6.0,-1.28808,26.0
7,7.0,-1.50496,26.1667
8,8.0,-1.61778,26.3333
9,9.0,-1.69603,26.5
10,10.0,-1.74789,26.6667
11,11.0,-1.78738,26.8333
12,12.0,-1.80971,27.0
13,13.0,-1.82723,27.1667
14,14.0,-1.84153,27.3333
15,15.0,-1.85228,27.5
16,16.0,-1.85958,27.6667
17,17.0,-1.86621,27.8333
18,18.0,-1.87236,28.0
19,19.0,-1.87801,28.1667
20,20.0,-1.88234,28.3333
21,21.0,-1.88722,28.5
22,22.0,-1.8921,28.6667
23,23.0,-1.89691,28.8333
24,24.0,-1.90131,29.0
25,25.0,-1.90574,29.1667
26,26.0,-1.91007,29.3333
27,27.0,-1.91435,29.5
28,28.0,-1.91801,29.6667
29,29.0,-1.92177,29.8333
30,30.0,-1.92545,30.0
31,31.0,-1.92901,30.1667
32,32.0,-1.93212,30.3333
33,33.0,-1.93546,30.5
34,34.0,-1.93886,30.6667
35,35.0,-1.94225,30.8333
36,36.0,-1.94562,31.0
37,37.0,-1.94895,31.1667
38,38.0,-1.95225,31.3333
39,39.0,-1.95551,31.5
40,40.0,-1.95859,31.6667
41,41.0,-1.96166,31.8333
42,42.0,-1.96478,32.0
43,43.0,-1.96799,32.1667
44,44.0,-1.97096,32.3333
45,45.0,-1.97395,32.5
46,46.0,-1.97691,32.6667
47,47.0,-1.97987,32.8333
48,48.0,-1.98271,33.0
49,49.0,-1.98552,33.1667
50,50.0,-1.98828,33.3333
51,51.0,-1.991,33.5
52,52.0,-1.99335,33.6667
53,53.0,-1.99579,33.8333
54,54.0,-1.99823,34.0
55,55.0,-2.00062,34.1667
56,56.0,-2.00267,34.3333
57,57.0,-2.00482,34.5
58,58.0,-2.00697,34.6667
59,59.0,-2.00904,34.8333
60,60.0,-2.01105,35.0
61,61.0,-2.0131,35.1667
62,62.0,-2.01515,35.3333
63,63.0,-2.01713,35.5
64,64.0,-2.01911,35.6667
65,65.0,-2.02102,35.8333
66,66.0,-2.0229,36.0
67,67.0,-2.02482,36.1667
68,68.0,-2.02669,36.3333
69,69.0,-2.02859,36.5
70,70.0,-2.03046,36.6667
71,71.0,-2.03228,36.8333
72,72.0,-2.0341,37.0
73,73.0,-2.0359,37.1667
74,74.0,-2.03767,37.3333
75,75.0,-2.03939,37.5
76,76.0,-2.04114,37.6667
77,77.0,-2.04294,37.8333
78,78.0,-2.04465,38.0
79,79.0,-2.04628,38.1667
80,80.0,-2.04786,38.3333
81,81.0,-2.04938,38.5
82,82.0,-2.05093,38.6667
83,83.0,-2.05251,38.8333
84,84.0,-2.0539,39.0
85,85.0,-2.05542,39.1667
86,86.0,-2.05695,39.3333
87,87.0,-2.05846,39.5
88,88.0,-2.05996,39.6667
89,89.0,-2.06134,39.8333
90,90.0,-2.06269,40.0
91,91.0,-2.06403,40.1667
92,92.0,-2.06514,40.3333
93,93.0,-2.06634,40.5
94,94.0,-2.06762,40.6667
95,95.0,-2.06892,40.8333
96,96.0,-2.07037,41.0
97,97.0,-2.07178,41.1667
98,98.0,-2.07318,41.3333
99,99.0,-2.07453,41.5
100,100.0,-2.07597,41.6667
101,101.0,-2.0773,41.8333
102,102.0,-2.07858,42.0
103,103.0,-2.07984,42.1667
104,104.0,-2.08088,42.3333
105,105.0,-2.08203,42.5
106,106.0,-2.08321,42.6667
107,107.0,-2.08439,42.8333
108,108.0,-2.08563,43.0
109,109.0,-2.08682,43.1667
110,110.0,-2.08801,43.3333
111,111.0,-2.08928,43.5
112,112.0,-2.0906,43.6667
113,113.0,-2.09186,43.8333
114,114.0,-2.09311,44.0
115,115.0,-2.09432,44.1667
116,116.0,-2.09538,44.3333
117,117.0,-2.09651,44.5
118,118.0,-2.09766,44.6667
119,119.0,-2.09884,44.8333
120,120.0,-2.09992,45.0
121,121.0,-2.10095,45.1667
122,122.0,-2.10199,45.3333
123,123.0,-2.10316,45.5
124,124.0,-2.10438,45.6667
125,125.0,-2.1056,45.8333
126,126.0,-2.10678,46.0
127,127.0,-2.10798,46.1667
128,128.0,-2.10929,46.3333
129,129.0,-2.11053,46.5
130,130.0,-2.11177,46.6667
131,131.0,-2.11301,46.8333
132,132.0,-2.11415,47.0
133,133.0,-2.11532,47.1667
134,134.0,-2.11639,47.3333
135,135.0,-2.11739,47.5
136,136.0,-2.11832,47.6667
137,137.0,-2.11934,47.8333
138,138.0,-2.12046,48.0
139,139.0,-2.12161,48.1667
140,140.0,-2.1227,48.3333
141,141.0,-2.12378,48.5
142,142.0,-2.12492,48.6667
143,143.0,-2.12613,48.8333
144,144.0,-2.12732,49.0
145,145.0,-2.12846,49.1667
146,146.0,-2.12955,49.3333
147,147.0,-2.13054,49.5
148,148.0,-2.13148,49.6667
149,149.0,-2.13242,49.8333
150,150.0,-2.13344,50.0
151,151.0,-2.13444,50.1667
152,152.0,-2.13533,50.3333
153,153.0,-2.13639,50.5
154,154.0,-2.13755,50.6667
155,155.0,-2.13875,50.8333
156,156.0,-2.14008,51.0
157,157.0,-2.14137,51.1667
158,158.0,-2.14266,51.3333
159,159.0,-2.14396,51.5
160,160.0,-2.14517,51.6667
161,161.0,-2.14624,51.8333
162,162.0,-2.14728,52.0
163,163.0,-2.14828,52.1667
164,164.0,-2.14911,52.3333
165,165.0,-2.15015,52.5
166,166.0,-2.15125,52.6667
167,167.0,-2.1524,52.8333
168,168.0,-2.15365,53.0
169,169.0,-2.15483,53.1667
170,170.0,-2.15604,53.3333
171,171.0,-2.15732,53.5
172,172.0,-2.15853,53.6667
173,173.0,-2.15966,53.8333
174,174.0,-2.16081,54.0
175,175.0,-2.162,54.1667
176,176.0,-2.16315,54.3333
177,177.0,-2.16429,54.5
178,178.0,-2.16545,54.6667
179,179.0,-2.16657,54.8333
180,180.0,-2.16756,55.0
181,181.0,-2.16854,55.1667
182,182.0,-2.16954,55.3333
183,183.0,-2.17057,55.5
184,184.0,-2.17151,55.6667
185,185.0,-2.17254,55.8333
186,186.0,-2.17361,56.0
187,187.0,-2.17474,56.1667
188,188.0,-2.17608,56.3333
189,189.0,-2.17745,56.5
190,190.0,-2.17886,56.6667
191,191.0,-2.18027,56.8333
192,192.0,-2.1818,57.0
193,193.0,-2.18322,57.1667
194,194.0,-2.18454,57.3333
195,195.0,-2.18586,57.5
196,196.0,-2.18702,57.6667
197,197.0,-2.18828,57.8333
198,198.0,-2.18951,58.0
199,199.0,-2.19071,58.1667
200,200.0,-2.19175,58.3333
201,201.0,-2.19277,58.5
202,202.0,-2.19385,58.6667
203,203.0,-2.19502,58.8333
204,204.0,-2.1962,59.0
205,205.0,-2.1975,59.1667
206,206.0,-2.19886,59.3333
207,207.0,-2.20023,59.5
208,208.0,-2.20184,59.6667
209,209.0,-2.20327,59.8333
210,210.0,-2.20463,60.0
211,211.0,-2.20597,60.1667
212,212.0,-2.20719,60.3333
213,213.0,-2.20846,60.5
214,214.0,-2.20982,60.6667
215,215.0,-2.21123,60.8333
216,216.0,-2.21265,61.0
217,217.0,-2.21412,61.1667
218,218.0,-2.21563,61.3333
219,219.0,-2.21712,61.5
220,220.0,-2.21863,61.6667
221,221.0,-2.22012,61.8333
222,222.0,-2.22164,62.0
223,223.0,-2.22313,62.1667
224,224.0,-2.22436,62.3333
225,225.0,-2.22561,62.5
226,226.0,-2.22684,62.6667
227,227.0,-2.22808,62.8333
228,228.0,-2.22912,63.0
229,229.0,-2.23032,63.1667
230,230.0,-2.23157,63.3333
231,231.0,-2.23283,63.5
232,232.0,-2.23436,63.6667
233,233.0,-2.23582,63.8333
234,234.0,-2.23723,64.0
235,235.0,-2.23861,64.1667
236,236.0,-2.24013,64.3333
237,237.0,-2.24156,64.5
238,238.0,-2.24293,64.6667
239,239.0,-2.24417,64.8333
240,240.0,-2.24533,65.0
241,241.0,-2.24652,65.1667
242,242.0,-2.2477,65.3333
243,243.0,-2.24889,65.5
244,244.0,-2.25005,65.6667
245,245.0,-2.25128,65.8333
246,246.0,-2.25251,66.0
247,247.0,-2.25374,66.1667
248,248.0,-2.25502,66.3333
249,249.0,-2.25623,66.5
250,250.0,-2.25736,66.6667
251,251.0,-2.25847,66.8333
252,252.0,-2.25938,67.0
253,253.0,-2.26028,67.1667
254,254.0,-2.26119,67.3333
255,255.0,-2.26204,67.5
256,256.0,-2.26267,67.6667
257,257.0,-2.26336,67.8333
258,258.0,-2.26401,68.0
259,259.0,-2.26462,68.1667
260,260.0,-2.265,68.3333
261,261.0,-2.26528,68.5
262,262.0,-2.26545,68.6667
263,263.0,-2.26572,68.8333
264,264.0,-2.26494,69.0
265,265.0,-2.2646,69.1667
266,266.0,-2.26432,69.3333
267,267.0,-2.26406,69.5
268,268.0,-2.26378,69.6667
269,269.0,-2.26356,69.8333
270,270.0,-2.26334,70.0
271,271.0,-2.26304,70.1667
272,272.0,-2.26279,70.3333
273,273.0,-2.2625,70.5
274,274.0,-2.26212,70.6667
275,275.0,-2.26178,70.8333
276,276.0,-2.26136,71.0
277,277.0,-2.261,71.1667
278,278.0,-2.26064,71.3333
279,279.0,-2.26021,71.5
280,280.0,-2.25983,71.6667
281,281.0,-2.25944,71.8333
282,282.0,-2.259,72.0
283,283.0,-2.25849,72.1667
284,284.0,-2.25797,72.3333
285,285.0,-2.25756,72.5
286,286.0,-2.25728,72.6667
287,287.0,-2.25706,72.8333
288,288.0,-2.25695,73.0
289,289.0,-2.25682,73.1667
290,290.0,-2.25679,73.3333
291,291.0,-2.25682,73.5
292,292.0,-2.25692,73.6667
293,293.0,-2.25687,73.8333
294,294.0,-2.2568,74.0
295,295.0,-2.25676,74.1667
296,296.0,-2.25677,74.3333
297,297.0,-2.25687,74.5
298,298.0,-2.25695,74.6667
299,299.0,-2.25705,74.8333
300,300.0,-2.25731,75.0
301,301.0,-2.25745,75.1667
302,302.0,-2.25749,75.3333
303,303.0,-2.25745,75.5
304,304.0,-2.25729,75.6667
305,305.0,-2.25721,75.8333
306,306.0,-2.2572,76.0
307,307.0,-2.25721,76.1667
308,308.0,-2.25731,76.3333
309,309.0,-2.25745,76.5
310,310.0,-2.25759,76.6667
311,311.0,-2.25772,76.8333
312,312.0,-2.25798,77.0
313,313.0,-2.25813,77.1667
314,314.0,-2.25822,77.3333
315,315.0,-2.25829,77.5
316,316.0,-2.25839,77.6667
317,317.0,-2.2584,77.8333
318,318.0,-2.25834,78.0
319,319.0,-2.25824,78.1667
320,320.0,-2.25809,78.3333
321,321.0,-2.25794,78.5
322,322.0,-2.25784,78.6667
323,323.0,-2.25777,78.8333
324,324.0,-2.25758,79.0
325,325.0,-2.25752,79.1667
326,326.0,-2.25741,79.3333
327,327.0,-2.25729,79.5
328,328.0,-2.25727,79.6667
329,329.0,-2.25719,79.8333
330,330.0,-2.25708,80.0
331,331.0,-2.25692,80.1667
332,332.0,-2.25673,80.3333
333,333.0,-2.25652,80.5
334,334.0,-2.25632,80.6667
335,335.0,-2.2562,80.8333
336,336.0,-2.25615,81.0
337,337.0,-2.25605,81.1667
338,338.0,-2.256,81.3333
339,339.0,-2.25603,81.5
340,340.0,-2.25402,81.6667
341,341.0,-2.24553,81.8333
342,342.0,-2.2364,82.0
343,343.0,-2.23008,82.1667
344,344.0,-2.23182,82.3333
345,345.0,-2.23458,82.5
346,346.0,-2.23748,82.6667
347,347.0,-2.24023,82.8333
348,348.0,-2.24307,83.0
349,349.0,-2.24569,83.1667
350,350.0,-2.24767,83.3333
351,351.0,-2.24918,83.5
352,352.0,-2.25003,83.6667
353,353.0,-2.25089,83.8333
354,354.0,-2.25142,84.0
355,355.0,-2.25166,84.1667
356,356.0,-2.25176,84.3333
357,357.0,-2.25198,84.5
358,358.0,-2.25209,84.6667
359,359.0,-2.25213,84.8333
360,360.0,-2.25208,85.0
361,361.0,-2.25201,85.1667
362,362.0,-2.25186,85.3333
363,363.0,-2.25163,85.5
364,364.0,-2.25121,85.6667
365,365.0,-2.2509,85.8333
366,366.0,-2.2506,86.0
367,367.0,-2.25029,86.1667
368,368.0,-2.24994,86.3333
369,369.0,-2.24961,86.5
370,370.0,-2.24928,86.6667
371,371.0,-2.24895,86.8333
372,372.0,-2.24853,87.0
373,373.0,-2.24801,87.1667
374,374.0,-2.24737,87.3333
375,375.0,-2.24669,87.5
376,376.0,-2.24578,87.6667
377,377.0,-2.24493,87.8333
378,378.0,-2.24402,88.0
379,379.0,-2.24309,88.1667
380,380.0,-2.24208,88.3333
381,381.0,-2.24124,88.5
382,382.0,-2.24048,88.6667
383,383.0,-2.23964,88.8333
384,384.0,-2.23954,89.0
385,385.0,-2.23954,89.1667
386,386.0,-2.23948,89.3333
387,387.0,-2.23944,89.5
388,388.0,-2.23973,89.6667
389,389.0,-2.23977,89.8333
390,390.0,-2.2398,90.0
391,391.0,-2.23988,90.1667
392,392.0,-2.23981,90.3333
393,393.0,-2.2398,90.5
394,394.0,-2.23978,90.6667
395,395.0,-2.23973,90.8333
396,396.0,-2.23954,91.0
397,397.0,-2.23933,91.1667
398,398.0,-2.23917,91.3333
399,399.0,-2.23904,91.5
400,400.0,-2.23874,91.6667
401,401.0,-2.23854,91.8333
402,402.0,-2.23834,92.0
403,403.0,-2.23814,92.1667
404,404.0,-2.2379,92.3333
405,405.0,-2.23765,92.5
406,406.0,-2.23742,92.6667
407,407.0,-2.23724,92.8333
408,408.0,-2.23708,93.0
409,409.0,-2.23701,93.1667
410,410.0,-2.23704,93.3333
411,411.0,-2.23718,93.5
412,412.0,-2.23757,93.6667
413,413.0,-2.23781,93.8333
414,414.0,-2.23808,94.0
415,415.0,-2.2384,94.1667
416,416.0,-2.23874,94.3333
417,417.0,-2.23909,94.5
418,418.0,-2.23944,94.6667
419,419.0,-2.23983,94.8333
420,420.0,-2.24038,95.0
421,421.0,-2.24094,95.1667
422,422.0,-2.24156,95.3333
423,423.0,-2.2422,95.5
424,424.0,-2.24299,95.6667
425,425.0,-2.24358,95.8333
426,426.0,-2.24413,96.0
427,427.0,-2.24472,96.1667
428,428.0,-2.24532,96.3333
429,429.0,-2.24598,96.5
430,430.0,-2.24664,96.6667
431,431.0,-2.2473,96.8333
432,432.0,-2.24814,97.0
433,433.0,-2.24894,97.1667
434,434.0,-2.24969,97.3333
435,435.0,-2.25041,97.5
436,436.0,-2.25108,97.6667
437,437.0,-2.25177,97.8333
438,438.0,-2.25251,98.0
439,439.0,-2.2533,98.1667
440,440.0,-2.25412,98.3333
441,441.0,-2.25508,98.5
442,442.0,-2.25614,98.6667
443,443.0,-2.25719,98.8333
444,444.0,-2.25857,99.0
445,445.0,-2.25985,99.1667
446,446.0,-2.2611,99.3333
447,447.0,-2.2623,99.5
448,448.0,-2.26362,99.6667
449,449.0,-2.26483,99.8333
450,450.0,-2.26601,100.0
451,451.0,-2.26722,100.167
452,452.0,-2.26832,100.333
453,453.0,-2.26949,100.5
454,454.0,-2.27068,100.667
455,455.0,-2.27192,100.833
456,456.0,-2.27313,101.0
457,457.0,-2.27437,101.167
458,458.0,-2.27562,101.333
459,459.0,-2.27684,101.5
460,460.0,-2.27819,101.667
461,461.0,-2.27957,101.833
462,462.0,-2.28099,102.0
463,463.0,-2.28242,102.167
464,464.0,-2.28393,102.333
465,465.0,-2.28528,102.5
466,466.0,-2.28657,102.667
467,467.0,-2.28786,102.833
468,468.0,-2.28903,103.0
469,469.0,-2.29026,103.167
470,470.0,-2.29153,103.333
471,471.0,-2.29281,103.5
472,472.0,-2.29414,103.667
473,473.0,-2.29542,103.833
474,474.0,-2.29665,104.0
475,475.0,-2.29788,104.167
476,476.0,-2.29923,104.333
477,477.0,-2.30064,104.5
478,478.0,-2.302,104.667
479,479.0,-2.30335,104.833
480,480.0,-2.30478,105.0
481,481.0,-2.30611,105.167
482,482.0,-2.30742,105.333
483,483.0,-2.30875,105.5
484,484.0,-2.31,105.667
485,485.0,-2.3113,105.833
486,486.0,-2.31259,106.0
487,487.0,-2.31387,106.167
488,488.0,-2.31524,106.333
489,489.0,-2.31656,106.5
490,490.0,-2.31788,106.667
491,491.0,-2.31922,106.833
492,492.0,-2.32067,107.0
493,493.0,-2.32214,107.167
494,494.0,-2.32361,107.333
495,495.0,-2.32512,107.5
496,496.0,-2.3267,107.667
497,497.0,-2.32823,107.833
498,498.0,-2.32972,108.0
499,499.0,-2.33121,108.167
500,500.0,-2.33258,108.333
501,501.0,-2.33396,108.5
502,502.0,-2.3353,108.667
503,503.0,-2.33661,108.833
504,504.0,-2.33777,109.0
505,505.0,-2.33895,109.167
506,506.0,-2.34009,109.333
507,507.0,-2.34121,109.5
508,508.0,-2.34218,109.667
509,509.0,-2.34328,109.833
510,510.0,-2.34443,110.0
511,511.0,-2.3456,110.167
512,512.0,-2.34678,110.333
513,513.0,-2.34785,110.5
514,514.0,-2.34886,110.667
515,515.0,-2.34988,110.833
516,516.0,-2.35088,111.0
517,517.0,-2.352,111.167
518,518.0,-2.35316,111.333
519,519.0,-2.35435,111.5
520,520.0,-2.35561,111.667
521,521.0,-2.35686,111.833
522,522.0,-2.3581,112.0
523,523.0,-2.35929,112.167
524,524.0,-2.36049,112.333
525,525.0,-2.36164,112.5
526,526.0,-2.36268,112.667
527,527.0,-2.36366,112.833
528,528.0,-2.36458,113.0
529,529.0,-2.36548,113.167
530,530.0,-2.36636,113.333
531,531.0,-2.36726,113.5
532,532.0,-2.36819,113.667
533,533.0,-2.36923,113.833
534,534.0,-2.37029,114.0
535,535.0,-2.37134,114.167
536,536.0,-2.37265,114.333
537,537.0,-2.37382,114.5
538,538.0,-2.37496,114.667
539,539.0,-2.37605,114.833
540,540.0,-2.37712,115.0
541,541.0,-2.37819,115.167
542,542.0,-2.37922,115.333
543,543.0,-2.38021,115.5
544,544.0,-2.381,115.667
545,545.0,-2.38185,115.833
546,546.0,-2.38274,116.0
547,547.0,-2.38362,116.167
548,548.0,-2.38441,116.333
549,549.0,-2.38537,116.5
550,550.0,-2.38641,116.667
551,551.0,-2.38746,116.833
552,552.0,-2.38861,117.0
553,553.0,-2.38967,117.167
554,554.0,-2.39068,117.333
555,555.0,-2.39168,117.5
556,556.0,-2.39248,117.667
557,557.0,-2.39335,117.833
558,558.0,-2.39418,118.0
559,559.0,-2.39498,118.167
560,560.0,-2.39557,118.333
561,561.0,-2.39623,118.5
562,562.0,-2.39692,118.667
563,563.0,-2.39762,118.833
564,564.0,-2.39817,119.0
565,565.0,-2.39882,119.167
566,566.0,-2.39945,119.333
567,567.0,-2.40008,119.5
568,568.0,-2.40079,119.667
569,569.0,-2.4015,119.833
570,570.0,-2.40221,120.0
571,571.0,-2.4029,120.167
572,572.0,-2.40361,120.333
